id,y_real,y_pred
10,0,0
14,0,0
17,0,0
27,0,0
37,0,0
40,1,0
41,0,0
44,0,0
45,0,0
48,1,1
50,1,0
51,0,0
53,0,0
55,0,0
57,0,0
58,0,0
60,0,0
61,0,1
62,0,0
63,0,0
65,0,0
70,0,0
74,0,0
77,1,1
80,1,0
85,0,0
91,0,0
95,0,0
105,0,0
106,0,0
108,0,0
109,0,0
113,0,1
114,0,0
116,0,0
119,0,0
124,0,0
126,0,0
130,0,0
134,1,0
135,0,0
136,0,0
139,0,0
147,0,0
153,0,0
154,0,0
160,0,0
165,0,0
167,0,0
168,0,0
169,0,0
172,0,0
173,0,0
176,0,0
180,0,0
194,0,1
199,0,0
202,0,0
209,0,0
212,0,0
218,0,0
219,0,0
220,1,0
222,0,0
223,0,0
226,0,0
230,0,0
235,0,0
238,0,0
240,0,0
246,0,0
249,0,0
251,0,1
253,0,0
256,0,0
260,0,0
262,0,0
266,0,0
269,1,0
272,0,0
275,1,0
278,0,0
282,1,0
283,0,0
284,0,0
285,0,0
287,0,0
288,0,0
290,0,0
292,0,0
298,0,0
300,1,0
301,0,0
302,0,0
309,0,0
315,0,0
316,0,0
321,0,0
323,0,0
330,0,0
336,0,0
338,0,0
341,1,0
349,0,0
352,0,0
356,0,0
358,1,0
362,0,0
365,0,0
374,0,0
378,0,0
380,0,0
383,0,0
385,0,0
386,0,0
388,0,0
389,0,0
399,0,0
402,0,0
404,0,0
411,0,0
412,1,0
421,0,0
424,0,0
431,0,0
432,1,0
433,0,0
441,0,0
444,1,0
448,0,0
449,0,0
450,0,0
456,1,0
462,0,0
468,0,0
471,0,0
472,0,0
474,0,0
475,0,0
477,1,0
478,0,0
480,1,0
482,0,0
483,1,0
484,1,0
486,1,0
489,0,0
497,1,0
506,0,0
514,1,0
517,0,0
518,0,0
523,0,0
524,0,0
525,0,0
528,0,0
533,1,0
535,0,0
536,0,0
545,0,0
548,0,0
559,0,0
562,0,0
564,0,0
569,1,0
572,0,0
573,0,0
574,0,0
580,0,0
581,0,0
585,1,0
594,0,0
596,0,0
601,0,0
602,1,0
604,0,0
606,1,0
611,0,0
616,0,0
617,0,0
623,1,0
629,0,0
631,0,0
634,1,0
636,0,1
637,0,0
639,0,0
640,0,0
641,0,1
646,0,0
647,0,1
653,0,1
654,0,0
656,0,0
657,0,0
661,0,0
662,0,0
663,0,0
665,1,0
672,1,0
675,0,0
679,0,1
688,0,0
690,0,0
692,0,1
694,0,0
695,0,0
703,0,1
709,0,0
711,0,0
721,0,0
722,0,0
726,1,0
728,0,0
729,0,0
732,0,0
734,1,0
737,0,0
741,0,0
742,0,1
754,0,0
759,0,0
762,0,0
765,0,0
767,0,0
768,0,0
774,0,0
779,0,0
780,0,0
786,0,0
787,0,0
788,0,0
790,0,0
793,0,0
794,0,0
795,0,0
796,0,0
801,0,0
802,0,0
803,0,0
804,0,0
808,0,0
809,1,0
814,0,0
819,0,0
821,0,0
839,0,0
840,0,0
841,0,0
843,1,0
847,0,0
848,0,0
849,0,0
850,0,0
853,1,0
854,0,0
856,0,0
858,0,0
859,0,0
860,0,0
863,0,0
867,0,0
868,0,0
875,0,0
877,0,0
878,0,0
883,1,0
887,0,0
890,0,0
892,0,0
893,0,0
894,0,0
897,0,0
899,0,0
907,0,0
910,0,0
912,0,0
919,0,0
927,0,0
938,0,0
941,0,0
947,0,0
949,0,0
965,0,0
966,0,0
968,0,0
981,0,0
982,0,0
984,0,0
988,1,0
989,0,0
990,0,0
994,1,0
997,0,0
999,0,0
1004,0,0
1010,0,0
1016,1,0
1018,0,0
1022,0,0
1027,0,0
1028,0,0
1032,0,0
1036,0,0
1038,0,0
1051,0,0
1054,0,0
1055,0,0
1056,0,0
1058,1,0
1059,0,0
1061,1,0
1067,0,0
1073,0,0
1075,1,0
1082,0,0
1086,0,0
1089,0,0
1091,0,0
1096,0,1
1098,1,0
1101,0,0
1106,1,0
1115,0,0
1116,0,0
1117,1,1
1122,0,0
1124,1,1
1126,1,1
1129,0,1
1131,1,0
1132,0,0
1134,0,0
1136,0,0
1138,0,0
