id,y_real,y_pred
19390,0,0.088
27176,0,0.024
41830,0,0.156
66313,0,0.03
14728,1,0.542
65593,0,0.014
68971,0,0.248
48246,1,0.572
45933,0,0.1
4515,0,0
15040,0,0.022
12892,0,0.082
50160,0,0.07
28049,0,0.028
56202,1,0.022
36339,0,0.058
52390,0,0.078
72407,0,0.054
27748,0,0.042
56753,0,0.092
68230,0,0.056
15488,0,0.056
47570,0,0.014
9169,0,0.142
19509,0,0.29
28191,0,0.148
978,1,0.83
27917,0,0.134
63479,0,0.206
24847,0,0.122
35192,1,0.022
43763,0,0.018
36027,0,0.014
13594,0,0.038
60385,1,0.928
48791,0,0
57966,0,0.006
7881,0,0.03
52819,1,0.828
30021,0,0.014
59911,1,0.846
47221,1,0.068
57135,0,0
40361,1,0.018
38660,0,0.002
57602,0,0.046
1703,0,0.14
34830,0,0.164
53439,0,0
50551,0,0.03
34857,1,0.214
62839,0,0.006
31972,1,0.04
17865,0,0.08
5161,0,0.076
7260,0,0.006
23080,0,0.022
37844,0,0.092
48300,0,0.062
29688,1,0.002
66601,0,0.04
21425,0,0.062
33497,0,0.066
24256,1,0.962
47484,1,0.012
18826,0,0.036
34917,0,0.016
55904,0,0.002
6149,0,0
63854,0,0.054
24740,0,0.04
61235,0,0.078
25295,0,0.228
24353,0,0
34753,0,0.016
65079,0,0.074
63046,0,0.008
28453,0,0.032
56698,0,0.002
70064,0,0
31709,0,0
51971,0,0.02
29180,0,0.002
23735,0,0.044
55218,0,0.002
14785,0,0.174
51866,0,0.036
8879,0,0.078
17906,0,0.218
10455,0,0.03
17479,0,0.044
4301,0,0.036
46841,0,0.088
63902,1,0.846
56802,1,0.042
58143,0,0.006
33205,0,0.024
29910,1,0.04
59129,0,0.02
44113,0,0.052
47742,0,0.006
25759,1,0.02
19709,0,0.034
72378,1,0.104
46192,0,0
15548,0,0.028
9437,0,0.016
34866,0,0.014
67373,0,0.028
43658,0,0.004
71168,0,0.136
53355,0,0
26013,0,0.004
31462,0,0.002
10809,1,0.012
954,0,0.112
52169,0,0.078
7525,0,0.26
32540,0,0.128
46664,1,0.336
72300,0,0.024
36132,0,0.02
35313,0,0.014
12646,1,0.152
55023,0,0.118
33091,0,0.164
37265,0,0.016
15130,0,0.006
16669,0,0.068
43424,0,0.002
41904,0,0.1
5621,0,0.38
2592,0,0.096
46851,0,0.044
67680,1,0.714
43593,0,0.03
40882,0,0.004
38342,0,0
71791,0,0.076
37001,0,0.052
49764,0,0.018
43841,0,0.03
17411,0,0.016
18816,0,0.016
53150,0,0
32986,0,0.002
12764,0,0.074
54414,0,0.15
7653,0,0.198
62998,0,0.056
44790,0,0.038
40602,0,0.05
23962,0,0.006
33023,0,0.162
36469,0,0.056
13182,1,0.026
38594,1,0.054
5489,0,0.024
20240,0,0.02
15499,0,0.058
20754,0,0.092
65213,0,0.028
32517,0,0.022
56826,0,0.022
64156,1,0.046
30103,0,0.024
4653,1,0.07
24446,0,0.06
52726,0,0.142
24601,0,0
45926,0,0.008
61236,0,0.036
62365,0,0.066
28515,0,0.156
27722,0,0.004
65226,0,0
46934,0,0.098
53982,0,0.07
44093,0,0.022
65779,0,0.086
21399,0,0
13934,0,0.05
64565,0,0.014
36666,0,0.014
63879,0,0.058
13782,0,0.026
55215,0,0
52768,0,0.214
68730,0,0.036
39888,1,0.024
51837,0,0.074
28330,0,0.024
7349,0,0.04
67530,0,0.25
20631,0,0.008
43010,0,0.01
8039,0,0
61207,0,0.126
23158,0,0.05
57007,0,0.014
19483,0,0.136
15924,0,0.056
37635,1,0.118
19587,0,0.004
13195,0,0.024
37763,0,0.11
40980,0,0.004
9408,0,0.01
18669,0,0.038
52275,0,0.078
69996,0,0.022
7294,0,0.008
55568,0,0.008
69015,0,0.06
59600,0,0.05
22449,0,0.068
47291,0,0.048
69403,0,0.036
69430,0,0.042
24756,0,0.014
19111,1,0.154
12047,0,0.032
23457,0,0.024
37139,0,0.022
67259,0,0.112
37199,1,0.138
18755,0,0.014
3383,1,0.032
30422,0,0.106
62162,0,0.004
25280,0,0.106
9571,0,0.106
27262,0,0.088
45959,0,0.008
28398,0,0.032
50197,0,0.106
50180,0,0.074
40389,0,0.052
31274,0,0
32954,0,0.036
22307,0,0.036
42093,1,0.866
66253,0,0.016
10382,0,0.054
30211,0,0.098
15352,0,0.022
31207,0,0
9660,0,0.024
33487,0,0.014
68617,0,0.01
55448,0,0
67884,0,0.056
34255,1,0.01
43922,0,0.004
35295,0,0.02
7920,0,0.158
18028,0,0.004
36277,0,0.03
27134,0,0.022
68006,0,0.018
38128,0,0.1
23079,1,0.016
20226,1,0.046
57297,0,0
51110,0,0.082
12009,0,0.086
4694,0,0
54907,0,0.006
45137,0,0.142
12339,0,0.022
4530,0,0.01
7934,0,0.004
27773,0,0.052
12319,0,0.184
21730,0,0.004
13985,0,0.038
18710,0,0.074
13186,0,0.058
34726,1,0.008
56063,0,0.002
2023,1,0.136
38359,0,0.142
64031,0,0.044
27139,0,0.048
3489,0,0.004
10086,0,0.02
23387,0,0.008
11264,0,0.088
9621,1,0.442
16098,0,0.128
16467,0,0.006
9561,0,0.028
71382,0,0.008
23787,0,0
36871,0,0.018
49560,1,0.066
7215,0,0.33
8650,1,0.062
3669,0,0.004
67573,0,0.156
48995,0,0.034
6901,1,0.266
35825,0,0.274
33567,0,0.126
27288,0,0.004
72063,0,0.002
12825,1,0.006
59146,0,0
4981,0,0.042
29123,0,0
10266,0,0.078
14058,1,0.054
61171,0,0.022
52344,0,0.02
19431,0,0.068
35993,0,0
6046,1,0.184
25733,0,0.004
70459,1,0.062
45418,0,0.19
48317,0,0.16
22722,0,0.178
29498,0,0
72406,0,0.108
62159,0,0.01
69314,0,0.242
59048,0,0.042
56858,1,0.004
19475,0,0.004
55401,0,0.004
71690,0,0.054
21346,0,0.366
29034,0,0.042
59030,0,0.02
5611,0,0.022
26439,0,0.052
32175,0,0.014
11393,0,0.08
